parent_directory,is_file,name,size_in_bytes
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-timezone-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-util-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-conio-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-convert-l1-1-0.dll,25056
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-environment-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-filesystem-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-heap-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-locale-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-math-l1-1-0.dll,29144
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-multibyte-l1-1-0.dll,29136
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-private-l1-1-0.dll,74192
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-process-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-runtime-l1-1-0.dll,25040
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-stdio-l1-1-0.dll,25040
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-string-l1-1-0.dll,25040
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-time-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-crt-utility-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,clretwrc.dll,304768
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,clrjit.dll,1436304
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Core.deps.json,28141
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Core.dll,401752
